Maskapai;Jam Takeoff;Bandara Takeoff;Metode Penerbangan;Jam Landing;Bandara Landing;Harga Diskon;Harga Asli;;;;;;;;
Super Air Jet;06.00;SUB;Langsung;07.25;CGK;670.771;674.480;;;;;;;;
Super Air Jet;08.00;SUB;Langsung;09.25;CGK;670.771;674.480;;;;;;;;
Lion Air;06.15;SUB;Langsung;07.40;CGK;671.108;674.480;;;;;;;;
Lion Air;07.40;SUB;Langsung;09.05;CGK;671.108;674.480;;;;;;;;
Lion Air;07.55;SUB;Langsung;09.20;CGK;671.108;674.480;;;;;;;;
Batik Air;05.00;SUB;Langsung;06.15;HLP;701.799;705.680;;;;;;;;
Super Air Jet;16.00;SUB;Langsung;17.30;CGK;725.966;729.980;;;;;;;;
Lion Air;14.20;SUB;Langsung;15.50;CGK;726.331;729.980;;;;;;;;
Pelita Air;08.20;SUB;Langsung;09.55;CGK;733.000;749.000;;;;;;;;
Pelita Air;13.20;SUB;Langsung;14.55;CGK;733.000;749.000;;;;;;;;
Batik Air;07.45;SUB;Langsung;09.00;HLP;765.845;770.080;;;;;;;;
Citilink;08.05;SUB;Langsung;09.35;HLP;774.167;782.777;;;;;;;;
Citilink;09.00;SUB;Langsung;10.30;HLP;774.167;782.777;;;;;;;;
Citilink;16.10;SUB;Langsung;17.35;CGK;776.802;785.441;;;;;;;;
Citilink;06.00;SUB;Langsung;07.30;CGK;776.802;785.441;;;;;;;;
Citilink;08.10;SUB;Langsung;09.40;CGK;776.802;785.441;;;;;;;;
Citilink;09.50;SUB;Langsung;11.20;CGK;776.802;785.441;;;;;;;;
Citilink;14.20;SUB;Langsung;15.50;CGK;776.802;785.441;;;;;;;;
Lion Air;11.20;SUB;Langsung;12.45;CGK;781.553;785.480;;;;;;;;
Citilink;13.45;SUB;Langsung;15.15;HLP;827.959;837.167;;;;;;;;
Citilink;12.40;SUB;Langsung;14.10;CGK;831.691;840.941;;;;;;;;
Pelita Air;15.10;SUB;Langsung;16.45;CGK;833.000;849.000;;;;;;;;
Batik Air;05.00;SUB;Langsung;06.25;CGK;833.670;838.280;;;;;;;;
Batik Air;07.10;SUB;Langsung;08.35;CGK;833.670;838.280;;;;;;;;
Batik Air;09.10;SUB;Langsung;10.35;CGK;833.670;838.280;;;;;;;;
Batik Air;10.10;SUB;Langsung;11.35;CGK;833.670;838.280;;;;;;;;
Batik Air;11.10;SUB;Langsung;12.35;CGK;833.670;838.280;;;;;;;;
Batik Air;14.10;SUB;Langsung;15.40;CGK;833.670;838.280;;;;;;;;
Batik Air;15.10;SUB;Langsung;16.40;CGK;833.670;838.280;;;;;;;;
Lion Air;17.40;SUB;Langsung;19.10;CGK;890.904;895.380;;;;;;;;
Batik Air;14.50;SUB;Langsung;16.05;HLP;893.837;898.780;;;;;;;;
Super Air Jet;17.00;SUB;Langsung;18.30;CGK;944.557;949.780;;;;;;;;
Batik Air;10.45;SUB;Langsung;12.00;HLP;958.977;964.280;;;;;;;;
Batik Air;16.10;SUB;Langsung;17.40;CGK;961.762;967.080;;;;;;;;
Batik Air;15.40;SUB;Langsung;16.55;HLP;1.023.023;1.028.680;;;;;;;;
Pelita Air;19.50;SUB;Langsung;21.25;CGK;1.033.000;1.049.000;;;;;;;;
Citilink;17.30;SUB;Langsung;19.00;HLP;1.045.321;1.056.947;;;;;;;;
Citilink;19.00;SUB;Langsung;20.30;HLP;1.045.321;1.056.947;;;;;;;;
Batik Air;17.10;SUB;Langsung;18.40;CGK;1.090.947;1.096.980;;;;;;;;
Citilink;17.45;SUB;Langsung;19.15;CGK;1.103.943;1.116.221;;;;;;;;
Citilink;19.30;SUB;Langsung;21.00;CGK;1.157.735;1.170.611;;;;;;;;
Batik Air;19.55;SUB;Langsung;21.10;HLP;1.215.160;1.221.880;;;;;;;;
Super Air Jet;06.00;SUB;Langsung;07.25;CGK;1.215.160;1.221.880;;;;;;;;
Super Air Jet;08.00;SUB;Langsung;09.25;CGK;1.215.160;1.221.880;;;;;;;;
Lion Air;06.15;SUB;Langsung;07.40;CGK;1.215.160;1.221.880;;;;;;;;
Lion Air;07.40;SUB;Langsung;09.05;CGK;1.215.160;1.221.880;;;;;;;;
Lion Air;07.55;SUB;Langsung;09.20;CGK;1.215.160;1.221.880;;;;;;;;
Batik Air;05.00;SUB;Langsung;06.15;HLP;1.215.160;1.221.880;;;;;;;;
Super Air Jet;16.00;SUB;Langsung;17.30;CGK;1.215.160;1.221.880;;;;;;;;
Lion Air;14.20;SUB;Langsung;15.50;CGK;1.215.160;1.221.880;;;;;;;;
Pelita Air;08.20;SUB;Langsung;09.55;CGK;1.215.160;1.221.880;;;;;;;;
Pelita Air;13.20;SUB;Langsung;14.55;CGK;1.215.160;1.221.880;;;;;;;;
Batik Air;07.45;SUB;Langsung;09.00;HLP;1.215.160;1.221.880;;;;;;;;
Citilink;08.05;SUB;Langsung;09.35;HLP;1.215.160;1.221.880;;;;;;;;
Citilink;09.00;SUB;Langsung;10.30;HLP;1.215.160;1.221.880;;;;;;;;
Citilink;16.10;SUB;Langsung;17.35;CGK;1.215.160;1.221.880;;;;;;;;
Citilink;06.00;SUB;Langsung;07.30;CGK;1.215.160;1.221.880;;;;;;;;
Citilink;08.10;SUB;Langsung;09.40;CGK;1.215.160;1.221.880;;;;;;;;
Citilink;09.50;SUB;Langsung;11.20;CGK;1.215.160;1.221.880;;;;;;;;
Citilink;14.20;SUB;Langsung;15.50;CGK;1.215.160;1.221.880;;;;;;;;
Lion Air;11.20;SUB;Langsung;12.45;CGK;1.215.160;1.221.880;;;;;;;;
Citilink;13.45;SUB;Langsung;15.15;HLP;1.215.160;1.221.880;;;;;;;;
Citilink;12.40;SUB;Langsung;14.10;CGK;1.215.160;1.221.880;;;;;;;;
Pelita Air;15.10;SUB;Langsung;16.45;CGK;1.215.160;1.221.880;;;;;;;;
Batik Air;05.00;SUB;Langsung;06.25;CGK;1.215.160;1.221.880;;;;;;;;
Batik Air;07.10;SUB;Langsung;08.35;CGK;1.215.160;1.221.880;;;;;;;;
Batik Air;09.10;SUB;Langsung;10.35;CGK;1.215.160;1.221.880;;;;;;;;
Batik Air;10.10;SUB;Langsung;11.35;CGK;1.215.160;1.221.880;;;;;;;;
Batik Air;11.10;SUB;Langsung;12.35;CGK;1.215.160;1.221.880;;;;;;;;
Batik Air;14.10;SUB;Langsung;15.40;CGK;1.215.160;1.221.880;;;;;;;;
Batik Air;15.10;SUB;Langsung;16.40;CGK;1.215.160;1.221.880;;;;;;;;
Lion Air;17.40;SUB;Langsung;19.10;CGK;1.215.160;1.221.880;;;;;;;;
Batik Air;14.50;SUB;Langsung;16.05;HLP;1.215.160;1.221.880;;;;;;;;
Super Air Jet;17.00;SUB;Langsung;18.30;CGK;1.215.160;1.221.880;;;;;;;;
Batik Air;10.45;SUB;Langsung;12.00;HLP;1.215.160;1.221.880;;;;;;;;
Batik Air;16.10;SUB;Langsung;17.40;CGK;1.215.160;1.221.880;;;;;;;;
Batik Air;15.40;SUB;Langsung;16.55;HLP;1.215.160;1.221.880;;;;;;;;
Pelita Air;19.50;SUB;Langsung;21.25;CGK;1.215.160;1.221.880;;;;;;;;
Citilink;17.30;SUB;Langsung;19.00;HLP;1.215.160;1.221.880;;;;;;;;
Citilink;19.00;SUB;Langsung;20.30;HLP;1.215.160;1.221.880;;;;;;;;
Batik Air;17.10;SUB;Langsung;18.40;CGK;1.215.160;1.221.880;;;;;;;;
Citilink;17.45;SUB;Langsung;19.15;CGK;1.215.160;1.221.880;;;;;;;;
Citilink;19.30;SUB;Langsung;21.00;CGK;1.215.160;1.221.880;;;;;;;;
Batik Air;19.55;SUB;Langsung;21.10;HLP;1.215.160;1.221.880;;;;;;;;
Lion Air;05.55;SUB;1 Transit;09.35;CGK; ;1.362.980;;;;;;;;
Garuda Indonesia;07.05;SUB;Langsung;08.40;CGK; ;1.362.980;;;;;;;;
Garuda Indonesia;11.50;SUB;Langsung;13.25;CGK; ;1.362.980;;;;;;;;
Garuda Indonesia;13.35;SUB;Langsung;15.10;CGK; ;1.362.980;;;;;;;;
Lion Air;05.00;SUB;1 Transit;09.30;CGK; ;2.237.280;;;;;;;;
Super Air Jet;13.45;SUB;1 Transit;19.30;HLP; ;2.737.980;;;;;;;;
Super Air Jet;12.45;SUB;1 Transit;19.30;HLP; ;2.737.980;;;;;;;;
Super Air Jet;09.15;SUB;1 Transit;19.30;HLP; ;2.737.980;;;;;;;;
